id,label,latitude,longitude
151,Gare Quai Est,45.90126105,6.121922141198794
152,St-Bernard de Menthon,45.90459,6.1348491
153,André Theuriet,45.9057735,6.1370961
154,France Barattes,45.9068801,6.1397169
155,Impérial,45.9054818,6.1438519
156,Albigny,45.9068303,6.1464268
157,Cygnes,45.9084335,6.1457415
158,Pré d'Avril,45.909822,6.1484237
159,Pré Longé,45.9111946,6.1524007
160,C.E.S. Barattes,45.9125994,6.1549468
161,Verboux,45.9146416,6.1517954
434,La Salle,45.9170067,6.1478441
163,Chapelaines,45.9201491,6.1475015
164,Tilleuls,45.9211645,6.145132
165,Arc-en-Ciel,45.9248881,6.1482333
166,Hautevue,45.9254194,6.15247
167,Espace Rencontre,45.9248965,6.1557637
168,Glaisins Hameau,45.9227625,6.1629518
169,Glaisins,45.9296046,6.1684258
170,Vallon du Fier,45.9295625,6.1152977
171,Metz,45.93502,6.1106555
172,Aéroport,45.9303615,6.1080879
173,Base civile,45.9267924,6.1045437
174,Meythet Côte Merle,45.9248722,6.1022287
175,Lacroix,45.9216638,6.0987963
176,Vieux Meythet,45.9200571,6.0964534
177,Horizons,45.9185627,6.0942743
178,Meythet Le Rabelais,45.9158617,6.090475344103575
179,Meythet Hôtel de Ville,45.915942,6.092218
180,Chenonceau,45.917024,6.0954999
181,Cimetière Meythet,45.9147869,6.0976374
182,Garennes,45.9147024,6.1019627
183,Alta-Viéran,45.9167234,6.1045778
184,Les Terrasses,45.9111909,6.1080772
185,Iles,45.9121123,6.1130816
186,Grand Annecy,45.9109591,6.1147377
187,Salle Y. Martinet,45.9089916,6.1176735
188,Hôtel de Ville,45.8992503,6.129145361319482
189,Piscine Marquisats,45.8970293,6.1314009
190,Marquisats,45.8933394,6.1358956
191,Colmyr,45.8912069,6.139309
192,Grand Épagny,45.9401901,6.0724683
193,Roseaux,45.9398871,6.0766639
194,Plagnes,45.9376492,6.07778
195,Épagny Canal,45.9362899,6.080541
196,Tuilerie,45.9346854,6.083776
197,Plafète,45.9293827,6.0830313
198,Gillon,45.9268326,6.0855276
199,Les Grandes Teppes,45.9230445,6.0892209
200,Sur les Plans,45.920732,6.0895311
201,Chevesnes,45.9045631,6.1084715
202,Mandallaz,45.8999386,6.11645
203,Mavéria,45.9081512,6.1434927
204,Pommaries,45.9108996,6.1449019
205,Carrés,45.9125286,6.1435644
206,Germain Perréard,45.9103902,6.1129468
207,Hauteville,45.9055519,6.0983255
208,Millemoux,45.9015228,6.1020982
209,Pérolles,45.8970735,6.1031849
210,Lycée Tom Morel,45.8947247,6.1003149
211,Capitaine Anjot,45.8953384,6.0983092
212,Lycée Baudelaire,45.8968719,6.0965461
213,Vulpillière,45.8953401,6.0895536
214,Nanfray,45.8919997,6.0873988
215,Ajoncs,45.8900703,6.0833678
216,Monts,45.8876573,6.0732265
217,Chavanod Stade,45.88221,6.0523738
218,La  Varde,45.9276893,6.1342549
219,Pont de Brogny,45.9340425,6.1275261
220,Z.I. Nord,45.9439933,6.1277787
221,Vernes,45.941335,6.1276926
222,Champ Farçon,45.9403884,6.1303443
223,Lycée Lachenal,45.9388626,6.1316244
224,Granges,45.9392026,6.1343244
225,Salle Polyvalente,45.9398842,6.1411592
226,Stade,45.9400974,6.1441811
227,Gerbier,45.9434142,6.1417185
228,Mairie Argonay,45.9451125,6.1400252
229,Les Convers,45.945082,6.1434516
230,Symphorine Baratte,45.9434514,6.1470473
231,Magie,45.9465727,6.1512523
232,Sous-Clinique,45.9483507,6.1517227
233,Clinique d'Argonay,45.9491693,6.150126349150102
234,Genotte,45.9363982,6.1104930500000005
235,Grenette,45.9390499,6.1057628
236,Tour,45.9394027,6.1034094
237,Grands Champs,45.9384768,6.1002188
238,Mont-Baron,45.9393619,6.0920134
239,Mairie Épagny,45.9385175,6.0905725
240,Nanté,45.9379057,6.0873967
241,Épagny Mets-Tessy,45.9348358,6.0849027
242,Viéran,45.9422207,6.1086552
243,Grands Prés,45.945137,6.1079425
244,Tremblay,45.945774,6.1061636
245,Le Marquisat,45.9463807,6.103302
246,Champ Pontay,45.9484241,6.099114
247,Chez Levet,45.947276,6.0954118
248,Épagny-Rogemont,45.9465232,6.0891603
249,Saint-Paul,45.9445365,6.0863752
250,Monnaie,45.9420092,6.0876462
251,Greffons,45.9152651,6.080883
252,Brasilly École,45.9120278,6.0782973
253,Brasilly,45.9070687,6.0764413
254,Maraîchères,45.9110154,6.0698812
255,Monod,45.9140601,6.0672178
256,Palluds,45.9170159,6.0648977
257,Lachat,45.9246301,6.0613921
258,Macully,45.930964,6.0626044
259,Marny,45.9218254,6.0544029
260,Sorbiers,45.9190055,6.0545564
261,Epinettes,45.9162658,6.0539006
262,Poisy Moiry,45.9134107,6.0526534
263,Lovagny,45.9042579,6.033487
264,Malaz,45.8784245,6.105444
265,Sacconges,45.8747067,6.1023996
266,Culaz,45.8710176,6.0986013
267,Route de Vergloz,45.8672115,6.0949537
268,Pesset,45.8648787,6.0903778
269,L'eau Vive,45.8572332,6.0894412
270,Chemin du Pieu,45.8495227,6.0846727
271,La Croix Ronde,45.8438929,6.083926
272,Quintal-la-Fruitière,45.8406397,6.0839832
